"TOKEN";"REFTEXT"
"DZNRZHMWRY";"#RECO2 (reco)"
"DZTTOSCXCV";"1. MOT.-SCHÜTZEN-DIVISION"
"DZVNXKQOCY";"Su-22M4 [HE]"
"EABNCKRVXM";"MARINEPIONIER (Flam.)"
"EABZJNLULG";"GDF-002"
"EAEODEHFWL";"Panzer-Bat. 361"
"EAFKWUVFKS";"Hydra 70"
"EAHAVYVMDY";"303. TANK. DIV. OFFICIAL BATTLEGROUP"
"EAHJTPNGYF";"L7A3"
"EAHMWNJHHG";"403 Rgt. d'Artillerie"
"EAHNFCIBPG";"#CMD INFANTERIFØRER"
"EAHWBCLHKZ";"BEDFORD MJ2P"
"EAJYROBSXU";"6-1st Field Artillery Rgt."
"EAMPZUCIZK";"VAB T20/13"
"EAOVGVRCQA";"AB M252 81mm"
"EAQBYVOCOX";"VKK 471"
"EARLQFYVMA";"KS-19"
"EATQPMXDPZ";"10-y Razvedka Bat."
"EAXEUNBMDE";"CN 90 F3"
"EAYHSDCLCO";"KH vz.37 152mm"
"EAZFDGDONO";"FN 4RM/62F ABC"
"EAZTAOIGWT";"#RECO3 BPzV SVATAVA"
"EBECBWLJER";"1. LVD"
"EBGUHMZGJJ";"3-744-y Art. Polk"
"EBIGVCONRK";"#RFA  VBK 25"
"EBJYGQZVSD";"MORT. PESADO M2 120mm"
"EBKQBGCEHE";"LASER GUIDED BOMB"
"EBKSFYPDOX";"N.G. AH-1E COBRA"
"EBMIAYFDRH";"GREEN BERETS (ODA)"
"EBMITSDCGZ";"#CMD FUSILEROS MANDO"
"EBMNBKJIWP";"VAB MEPHISTO LEGION"
"EBQNXMTUJH";"#RECO3 M201 RASURA"
"EBRPFAPXZY";"6E DIVISION BLINDEE"
"EBSJRMHQID";"2-62-y Gv. Tank. Polk"
"EBTCBUMCNE";"237th Engineer Bat."
"EBTITPCGZO";"Fs-Gr.Wfr. M-43 82mm"
"EBYWILXMBO";"400kg"
"EBZXPUKMTQ";"1-JaboG 33"
"ECGMWQOEZA";"8TH INFANTRY DIVISION (MECH.)"
"ECHOCRUPAP";"ANTI-AIRCRAFT GUN"
"ECHVWYFSFM";"#RECO3 M113A1-B-SCB"
"ECKLITJEAT";"MECH. RIFLES (C6)"
"ECLXTRWQSK";"112-y Razvedka Bat."
"ECMEUFNUCF";"MPi-KMS-72"
"ECPYYRDZVV";"217. Protitankový Pluk"
"ECQYKLVHMO";"#CMD MECH. FUSILEROS MANDO"
"ECVAKBDJSG";"AERO-M2HB 12,7mm"
"ECYEKYITXJ";"76mm"
"EDALYXUMOS";"#SOV  244-y Gv. MSP"
"EDCFMQAIOT";"PARA. GROUPE ANTICHAR"
"EDCQERZRHH";"6-YA OG MOTOSTRELK. BRIG."
"EDDDSQXJDF";"Mrs. 120mm Tampella"
"EDGVMVBWED";"#NL 101 Luagp"
"EDHNQLWFLW";"4th Royal Tank Rgt."
"EDKSESFKOW";"4TH ARMOURED DIVISION"
"EDQLAONOLE";"119-ya Ind. Tank. Polk"
"EDQWQUTORJ";"M48A2GA2"
"EDSEHFDWYU";"4450th Tactical Group"
"EDTQOHWAKC";"#RFA  Flugabwehr-Kdo. 1"
"EDUXNFFRJV";"122-JROF-L"
"EDWGPYPSTZ";"FUSILEROS (M65)"
"EDWHEFIVZR";"T-72"
"EDZAETDNRP";"MiG-21bis [HE]"
"EEDUALOYSR";"Strela-2M"
"EEGCTFSYFJ";"FALLSCHIRMJÄGER"
"EEIGDJNUOQ";"3-68 pcz"
"EEKQUTQLXJ";"CHASSEURS-PARAS"
"EEMKEFIPPM";"RBU-6000"
"EENIZELYKB";"M2HB M63"
"EENMDTCOJJ";"FLA-RAK. STRELA-2M"
"EEOZNJEUHH";"UAZ-3151 SNAB."
"EEQCIAVDDZ";"Rh105"
"EERQGMIMID";"RM wz.70/85"
"EEWWCJNQPV";"RB-24B"
"EEXPHQAIIQ";"AS.12"
"EFBZOPCCEE";"I./MSR. 14"
"EFEYPHGGMX";"LLR F1"
"EFFQSWKXHR";"901-y otd. Desant. Bat."
"EFFSOFCOVX";"2-17-y Gv. Tank. Polk"
"EFKUOIWYHS";"ZiS-3"
"EFLYCMULWB";"Feldartillerie-Bat. 11"
"EFOGZNLWDO";"Mi-8TV [RKT 1]"
"EFPJFMKBXG";"STEYR 680"
"EFQEMCRFYC";"I./MSR. 43"
"EFUVCPEICD";"FASTA-4"
"EFZKLQAYPC";"TOA-PM-81"
"EFZPDEUKFP";"I,/AR-1"
"EGAHUJHMNV";"2A21"
"EGGKLRNDTK";"#RECO2 ECLAIREURS"
"EGHFHSLGCF";"FALLSCHIRM.-PKM 7,62mm"
"EGHHQHKPHO";"Artillery howitzer takes time to prepare and fire, but it can shoot at a very high distance while remaining perfectly accurate."
"EGKAQZRJSD";"REZERVISTI (SVD)"
"EGKDLLRGQX";"Mw. 72"
"EGMCSUAQEM";"RAPIER FSB2 DARKFIRE"
"EGPMWBVWWT";"T20-13"
"EGPXSAYCXO";"20 DYWIZJA PANCERNA"
"EGSMRQFWAT";"DLWP"
"EGSQEVCXIX";"3-6. DP"
"EGYWVNTJSH";"Bofors L/70"
"EHDQBOOBLI";"M20 SuperBaz"
"EHDXDDWVCP";"#CMD PZ.BEF. LEOPARD 1A1A1"
"EHFAIBYHJF";"BLU-82 ""Daisy Cutter"""
"EHGPGAACDW";"Minimi Para"
"EHJLOAVAXE";"3-sMSR. 25"
"EHMDGAYXHS";"Units specialized in anti-aircraft combat, i.e. against both helicopters and aircraft. "
"EHPGHKMUTX";"F-16A [AA]"
"EHQIPKCEKX";"CM.170 MAGISTER [AT]"
"EHRPKPGBNI";"TERRIERS GUN GROUP"
"EHUJNNZXOY";"VKK 251"
"EHUXOPZKLQ";"FAB-250"
"EHVYVFAQMB";"#RFA  52. Heimatschutz-Brig."
"EICNAAHZEI";"Hydra 70"
"EIDJSQOOIJ";"GROUPE ANTICHAR"
"EIFQWKHWYF";"#UK  7th Armoured Brigade"
"EIGJCEZBOL";"Blowpipe"
"EIGRLDFAEC";"UAZ-469"
"EIITAZBQTW";"FAL"
"EILGBJABHL";"20mm"
"EIPLTIFKJC";"CENTURION Mk.13"
"EISIZBMNUX";"M41"
"EISXNGMBFW";"#SOV 7-y Gv. Tank. Polk"
"EIVNAHOCNY";"MiG-29A [AA2]"
"EIWZFZZDWB";"3-724-y Gv. Art. Polk"
"EIYDAGPDKL";"SPW-60PB"
"EIYJQXSNDN";"A Gatling gun is a multi-barrelled automatic rotary cannon capable of shooting a massive quantity of rounds extremely fast.\nUsing an electronic firing mechanism, a modern Gatling gun (also known as minigun) can fire so quickly it is in danger of running out of ammunition within seconds. Gatling guns are often cumbersome weapons and are relegated to be used on aircraft or stable land platforms. They can be employed as a close-in defensive system to saturate a target area by throwing a hail of fire, an anti-aircraft gun, or even an airborne anti-tank weapon able to punch through the weak top plating of many armored vehicles."
"EJATKPMNGY";"Su-22M4 [RKT2]"
"EJFQBQSFVI";"SAMP T25"
"EJGCYAHXTU";"Vz.59"
"EJGPHYZPET";"3-361. DP"
"EJGUWZNWTR";"1st Canadian Division"
"EJIRWXHJIR";"Su-17M4 [HE/CLU]"
"EJKVCCXIMP";"5-6th Air Cavalry Sq."
"EJOAGSXZCG";"MAN Z311 HSS.630-3"
"EJRFFZLPLC";"#CMD T-72K"
"EJRHDYWFFW";"3-240-y  MSP"
"EJSVUWUHYN";"M20 SuperBaz"
"EJVINZUHAB";"Guided Munitions can be bombs or shells, fired directly or indirectly, receiving an accuracy bonus on laser-designated targets."
"EJYBCLPRAR";"A-6E INTRUDER"
"EJZETSKQNG";"357-y OShAP"
"EKHBCECRGK";"L23A1"
"EKHLXQCJCH";"DSh. KONKURS"
"EKHOVCJBHW";"SPzA1FüA"
"EKHZQZPLWT";" M1008 CUCV M60"
"EKKNAVTTWM";"VKK 311"
"EKLAMHOJAT";"#RECO1 ZWIAD. UAZ-469 KPV"
"EKLDFHPFDI";"14. Tanková Divize"
"EKSIQUUPGF";"M901 ITV"
"EKSPQFZMNP";"vz.52"
"EKUHWNEBDZ";"Geb.-Art.-Bat. 81"
"EKZORLDYAP";"M561 SUPPLY GOAT"
"ELDFELQHJU";"MARINES (Dragon)"
"ELGALDSPZX";"SS-60"
"ELHWVVDEAK";"HQ-3rd Armoured Div."
"ELMHGEZSIT";"MILITÄRSTREIFEN"
"ELMVKFMLOH";"M wz. 1951 240mm"
"ELWECTGOHB";"Token inexistant LZTJKYFJFO dans SERIOUS_Localisation_Unites"
"ELWLUQLCLJ";"PARA. L16 81mm [CLU]"
"ELWPSYWEEF";"T-55AS"
"ELXGQCPERN";"#SOV 2-ya Gv. Tank. Armiya"
"EMCDQRFBPV";"BMD-1"
"EMCNRZFLZM";"N.G. M60A3 (TTS) ERA"
"EMCTLSPSCS";"5-y Zen.-Rak. Brig."
"EMDHFKEBVY";"Sicherungs-Bat. 4451"
"EMDMBCMHDJ";"MO-81-61C"
"EMMVJVCWVI";"2-70-y Gv. Tank. Polk"
"EMNEUHSUIY";"1-9 pa"
"EMNQTTTYTY";"40. PLMB"
"EMSLYQXIIG";"SKYGUARD SWE 35mm"
"EMTJZGOINC";"T815 MUN."
"EMWRLJXZXG";"94-YA GV. STRELK. DIV."
"EMYEHKLKYO";"KPZ. T-34/85M"
"EMYYCRMQWY";"T-72A Obr. 79"
"ENCKULZGYH";"#RECO1 USMC M1025 HUMVEE M2HB"
"ENFPMTUFHJ";"152e Infanterie"
"ENFUZFRZJE";"II. Korps"
"ENGIPDHTAB";"M110A2"
"ENGONVZYEG";"Colt Commando"
"ENGQSIWHOP";"DANA"
"ENGXHHYZEM";"1-MSR. 1"
"ENKSNPIBRS";"F-111E [CLU]"
"ENOENDTOWI";"4e Chasseurs à Cheval"
"ENQFOACWCY";"M32A1"
"ENTOBYEOQX";"#RECO1 M1025 HUMVEE M2HB"
"ENVTXAPIKO";"5e Cuirassiers"
"ENWOTYGKWE";"EM-14e DBL"
"ENXLLJAOYW";"AIRBORNE GUNNERS"
"ENYGKSPQVA";"T-72M1"
"ENZJIPOUHA";"M36"
"EOADIWDGRO";"CENTURION Mk.5/2"
"EOAFOZJJZK";"DTM"
"EODTHKAKVD";"422-y otd. Zen.-Rak. Bat."
"EODYKHOORX";"CHALLENGER MK.3"
"EOEXEVWFKY";"80mm"
"EOFGRIGVYK";"100mm"
"EOJBIIMAAH";"2-59 pz"
"EONOCHKEKZ";"F-16C [AA]"
"EOQJZQQKCB";"UNIMOG U1350L"
"EOSLHGXVSB";"#SOV 33-y Tank. Polk"
"EOTHPQNCQU";"L5A1"
"EOVILAAMSO";"MPi-AK 74N"
"EOVKRRAMBN";"Mi-17MT [RKT 3]"
"EOVVHDSZPX";"URAL-375D"
"EOWHICNVPA";"Geb.Panzer-Bat. 8"
"EOXTTBGRFB";"1-111th Attack Helo. Bat. (NG)"
"EOYTHZQPZA";"2A15"
"EOZHUGTRFT";"MIRAGE 5 F [NPLM]"
"EOZJZHQIYM";"Electro-optical"
"EPDXWQICJB";"HEIMAT-JÄGER"
"EPEMIJQTUE";"II,/AR-19"
"EPFHFALITZ";"MG-51"
"EPFHOVYCLZ";"NSV 12,7mm"
"EPFWMECZIP";"5,56mm"
"EPFYKJUDJS";"DSh. NSV 12,7mm"
"EPHTVWXLMD";"T-55AK"
"EPJXBKIZCM";"94th Engineer Bat."
"EPNNOJERFE";"S-53"
"EPNVAMFVPA";"FV432 WOMBAT"
"EPPNIIEJHC";"BTR-70 AGS"
"EPPZWJCOLM";"M-43"
"EPTCYEWXNW";"#up{VERY HIGH}"
"EPXSENFNWC";"TCM-20"
"EQADPNULIM";"84-y otd. Razvedka Bat."
"EQASTBEBQW";"FR-19"
"EQAXAPJZQZ";"#US 1st Infantry Division (Mech.)"
"EQCEAMZAYY";"PARA. SCORPION"
"EQEHTEQBVH";"HEIMAT-JÄGER"
"EQGPZDDPPY";"#RECO2 N.G. OH-58A"
"EQIJISUUXM";"Mi-17 [RKT 3]"
"EQJNLVYMVL";"TK SUD"
"EQMLHXVNPQ";"I./AR-3"
"EQRKOEWRWL";"Kom./39-ya Gv. MSD"
"EQTBSMIQJJ";"JAGUAR [HE]"
"EQTOVWSYGC";"20 DIV. PANCERNA"
"EQVANCEUBN";"3-41st Infantry Rgt."
"EQWHSFBFWU";"MiG-29A [AA]"
"EQXDBXAADN";"368-y OShAP"
"EQYLCKGFHP";"Command Vehicle"
"EQYUTSARPL";"114e Infanterie"
"ERBCFGVDUK";"#SOV Northern Group of Forces"
"ERFWVIMJRI";"134 Afdva"
"ERJHJDAIXJ";"#RFA  Territorialkommando Nord"
"ERNSYDGBUW";"1-944-y Gv. Art. Polk"
"ESAQKOKQAM";"4. Stíhací Letecké Pluk"
"ESGVHRWUCP";"7TH ENGINEER BRIGADE"
"ESKPIAWQGE";"PzGrenadier-Bat. 11"
"ESLFRVBVUN";"BMP-2"
"ESNPZXMNOJ";"MP PATROL"
"ESUYAADOCP";"14 pappanc"
"ESVBTBOYWO";"3-28 pz"
"ESVLJCXLVZ";"ZU-23-2"
"ESYABMOZJU";"#CMD T-55AMK"
"ESZCCWKILN";"#US 4th ATAF"
"ETCJQTKOED";"chasseur"
"ETDPPSMYTR";"T-72M-E3"
"ETEBSCIGSM";"PLRK KRUG"
"ETEFWHZWJZ";"JG-9"
"ETETUEUKTJ";"PzArtillerie-Bat. 205"
"ETFBWQYHMJ";"JAGUAR [NPLM]"
"ETJIAVSQGI";"#CZ 75. ThDBr"
"ETKSWJEJYV";"1-204-y Gv. MSP"
"ETPKVPUVIQ";"24e RA"
"ETQPLKDOOA";"SF2 110mm"
"ETQWJOWNVX";"R-3R"
"ETSBXIEFMQ";"TKA MODEL 1939 85mm"
"ETTKPELYDH";"RB-24B"
"ETWXUOGKHG";"#SOV 125-ya ADIB"
"EUBFZGPGSF";"AT-4"
"EUBVMWIPKF";"MECH. FUSILEROS"
"EUCCDCWAWN";"REZ. SAPERI (LPO)"
"EUCKWLPKPE";"#RECO1 M1025 HUMVEE M2HB"
"EUDHFKLNMV";"Gepárd M1"
"EUGYTHQBNA";"ESCORTE PC"
"EUQUXKDWZK";"35TH INFANTRY DIVISION (MECH.)"
"EUROIXZVMK";"#RECO3 FV107 SCIMITAR SPYGLASS"
"EURRCMQTVF";"MK-20 Rockeye II"
"EUSTISJNDP";"4. PPR"
"EUURNGVQIC";"154 Afdva"
"EUVPKZFISA";"LEOPARD 2A4(B)"
"EVANNPMFIW";"2-6th Mech. Infantry Bat."
"EVCMESGHLS";"4-27th Field Artillery Rgt."
"EVGZYBGHCC";"911-y APIB"
"EVHVZBAMLI";"HVAR"
"EVIBHABNUA";"AB ILTIS TOW"
"EVIEPNWFQD";"3-325th PIR"
"EVIFZGPEHG";"JAGUAR [HE]"
"EVIPITVECG";"PzGrenadier-Bat. 312"
"EVJBIDRBJA";"2-44-y Gv. Tank. Polk"
"EVJFJYDIXI";"221-Y OTD. TANK. POLK"
"EVLSSRPCMB";"JAGUAR [SEAD2]"
"EVLTHGXGQM";"BAW-485 ZAOP."
"EVMAJDUEBS";"16th Engineer Bat."
"EVMFJOVVIK";"M2"
"EVMIDXSFCG";"MH-47D CHINOOK"
"EVPKXSIHSW";"Heeresflieger-Rgt. 16"
"EVRTHJUBXN";"Sh M 2S4 TULIPÁN"
"EVTAGXNEPV";"1-MSR17"
"EVUHPOWJRQ";"BLOWPIPE"
"EVYIVPZVOJ";"SemAct radar"
"EWAIRCEINO";"#DDR 19. Panzer-Rgt."
"EWDZYWGWDH";"Token inexistant YINGLZSRLH dans SERIOUS_Localisation_Unites"
"EWHAZBPHIT";"1-6. DP"
"EWKNDNQHXI";"M2HB 12,7mm"
"EWLLDMDMFA";"T-55A"
"EWNVKQCQNV";"AIR-TO-GROUND ROCKETS"
"EWOIOHQJJT";"4E DIVISIE"
"EWPCMOOLZX";"LVS"
"EWVBNSLVXG";"PUMA KANGOUROU"
"EWZJJYXJNS";"26 dar"
"EWZMBYRGOK";"#CMD MARINES ENGINEERS LDR."
"EXBCFNVHOI";"II,/The Queen's Rgt."
"EXCRZDJXFD";"#UK  6th Armoured Brigade"
"EXEFNUFAYO";"5 DYWIZJA ZMECH."
"EXGVXBZNYP";"Aufklärungs-Bat. 3"
"EXJTQZXBNX";"#medium{smoke launcher}"
"EXMDVBCGAZ";"117/118 Afdva"
"EXOFQTEUVF";"251. Plrp"
"EXPLEVEL0";"Regular"
"EXPLEVEL1";"Veteran"
"EXPLEVEL2";"Elite"
"EXPLEVEL3";"Super Elite"
"EXQDOWMNAA";"C.14A [HE]"
"EXRVLEJDNE";"Pionier-Bat. 340"
"EXSKICGHVD";"2-28 pz"
"Ext_FFlag";"False Flag units are easily mistaken with friendly or neutral ones. In combat, the threat level is lower than any other unit, meaning they'll always be targeted last."
"EXUHFEMNOA";"Teile/Pionier-Regiment 3"
"EXWZDFHBRM";"#RECO1 RAZV. BMP-1P"
"EXXLKUVWCR";"2-243-y Gv. MSP"
"EYADCOEDRX";"Mi-24D [AT]"
"EYBIRRVWLK";"STRELA-2M"
"EYCCSRCVJQ";"4-18th Field Artillery Rgt."
"EYCWPHWHBK";"LuAZ-967M FAGOT"
"EYDBMEKQBR";"Mi-4A"
"EYFJFJBTDU";"336-y Otd. Vertoletniy Polk"
"EYIZVISIGI";"#RFA 5. Artillerie-Regiment"
"EYKCGOHKBG";"BERLIN COMMAND"
"EYMUPEXBQF";"MiG-27K [AT2]"
"EYNCBNQCKB";"M185"
"EYNUUVRUNT";"1-23 pcz"
"EYOWOOTHHX";"R-24R"
"EYPMSOCEBO";"#SOV 400-y MSP"
"EYQZGDQWNO";"AERO-ENGINEERS"
"EYSRZUZSRI";"AIM-9P"
"EYZQIHRUXO";"BEDFORD MJ"
"EYZYYQAXLY";"N.G. RIFLES (LAW)"
"EZEVCDEEWN";"MiG-23ML [AA]"
"EZGKDXVNEH";"L13A1 "
"EZGUCUEKLE";"313th Tac. Fighter Sq."
"EZHQBLQBEA";"Model 30-11"
"EZHUXHAFSZ";"FH-70"
"EZMLHTGFVL";"#CZ 13. Tankový Pluk"
"EZOKSHWMQB";"2A46-1"
"EZPQIERZBS";"ASSAULT PIONEERS (Carl.G)"
"EZQIDHUCBW";"DSh. SPG-9"
"EZSNDKXGCH";"17th Engineer Bat."
"EZSTBIPTDR";"1-PR-1"
"EZTUABCJVU";"9K121 Vikhr"
"EZWUTCAYVX";"#RECO2 BO-105 CB MINIGUN"
"EZXCQNTEEO";"M20"
"EZYNIQMBKS";"#RFA  3. Artillerie-Regiment"
"FAGRPBRKFK";"AERO-RIFLES (AT-4)"
"FAIGAZVONH";"F-111F [HE]"
"FAIR01";"Aircraft: Fighter"
"FAIR02";"Aircraft: Electronic Warfare"
"FAIR03";"Aircraft: Multirole"
"FAIR04";"Aircraft: Recon"
"FAIR05";"Aircraft: Ground Support:"
"FAJTUZFVCZ";"PARA. MILAN 2"
"FAKXXBQKLA";"M-240"
"FAUT01";"Supply"
"FAUT02";"Recon"
"FAUT03";"Air Defense"
"FAUT04";"Artillery Observer"
"FAUT05";"Artillery: MLRS"
"FAUT06";"Artillery: Howitzer"
"FAUT07";"Artillery: Mortar"
"FAUT08";"Tank"
"FAUT09";"Transport: IFV"
"FAUT10";"Transport: APC"
"FAUT11";"Transport: Softsking"
"FAUT12";"Anti-Tank: Vehicle"
"FAUT13";"Anti-Tank: Gun"
"FAUT14";"Fire Support"
"FBALQJOGIQ";"FLAMMENWERFER 42/55"
"FBFOWLPIBS";"Bomblets"
"FBGQZSRZXA";"#CMD JÄGER FÜH."
"FBGVFFTZXT";"AB Mk.19 40mm"
"FBKUZZVVQQ";"31-YA TANK. DIV."
"FBNLRMLPSK";"DA-DLWP"
"FBOJVVUDTZ";"AK-74"
"FBOZALOPKR";"HK21"
"FBQIDKOWTQ";"35-GV.DSHB OFFICIAL BATTLEGROUP"
"FBRWAHBOQS";"#FR CA1CA"
"FBSWAUVCRP";"M201A1"
"FBTBJRTPCK";"II./AR-7"
"FBTTAUJYIK";"M240"
"FBUAYHIBHP";"#CZ 12. Motostřelecký Pluk"
"FBVQTNKGDN";"Units whose primary mission is to transport squads of infantry and unload them on the battlefield.\nThese units can be sent back to the rear once the infantry has unloaded."
"FBWAOMHKKU";"1098-y otd. Zen.-Rak. Bat."
"FBXZORVGKR";"T-34/85M"
"FBZDPVYZSM";"3-87-y Art. Polk"
"FCBJFOQSMA";"M-240"
"FCIEBEGVTW";"3-35th Armored Bat."
"FCMD01";"Command: Tank"
"FCMD02";"Command: Vehicle"
"FCMD03";"Command: Infantry"
"FCMD04";"Command: Helicopter"
"FCMDHDUUTO";"This vehicle is designed to move infantry units on the battlefield. Transports can range from fast jeeps and trucks to even helicopters."
"FCMDKFKHPY";"Pz.Kan. 61"
"FCOHWPXWDE";"31-YA GV. TD OFFICIAL BATTLEGROUP"
"FCYGQQXGDB";"#TCH 34. Stíhací Bomb. Letecká Divize"
"FCZBARMXSE";"1-7 Bah"
"FDEHXKQKCJ";"CBU-72"
"FDFMWFKKOY";"LEOPARD 1A4"
"FDKKWUCITO";"Pionier-Bat. 741"
"FDMCMZVIUH";"VKK 431"
"FDNFASOZGI";"UNIMOG U1350L LOG."
"FECWZUIRGI";"M106A2 MORTAR"
"FEDDLRDOEW";"Fs-FK20-2 20mm"
"FEEXJVACQX";"FV102 STRIKER"
"FEMMHQKSLF";"1-15-y Gv. Tank. Polk"
"FEODPPMDXP";"#CMD DOW. NIEBIESKIE BERETY"
"FEOFZUGCIH";"PRAM"
"FEOWXBHQJE";"#RFA  26. Luftlandebrigade"
"FERDWAMBKP";"1-6th Mech. Infantry Bat."
"FESTKWBRQT";"PIECHOTA "
"FFCLQNNZAO";"Panzer-Bat. 74"
"FFCTWGMKOZ";"N.G. M60A1 RISE"
"FFENGVKVSY";"AH-1T SEACOBRA [RKT2]"
"FFJOKCJRXA";"#CMD AIRBORNE LDR."
"FFJVIWDBPZ";"#RECO2 FALLSCHIRM. AUFK."
"FFLXDWNIBO";"A-6E INTRUDER [SEAD]"
"FFMTOYKEJQ";"#RECO2 GAZELLE LISSE"
"FFMYWTNUEL";"#RECO2 DINOPS"
"FFRHFWIDXP";"CBU-72"
"FFSGXLNWRT";"#CMD CMDT FUSILIERS"
"FFXMDZQVPY";"2-PR-1"
"FFYVHXAZAZ";"D-1"
"FFZYBPEVUC";"#RECO1 N.G. M48A5 ACAV"
"FGBFJZRGBV";"2-12. MSP"
"FGBOFZUMNF";"Mi-8MT [RKT 2]"
"FGCHGURRII";"RPG-7VR"
"FGFQAIUNMN";"1. Stíhací Letecké Pluk"
"FGHTKFQOTP";"LEOPARD 1A1A2"
"FGJTZXLJVU";"N.G. M901 ITV"
"FGKLRTQMSA";"SS.11"
"FGQFEPWLDG";"MLVW SUPPLY"
"FGQOPQZNWC";"II./MSR. 7"
"FGUBVNEQKH";"AIRMOBILE GUN GROUP"
"FGVAXLSTJV";"6de Artillerie"
"FGXHUVKXRA";"MPi-AKS 74N"
"FGYDQGQMLK";"LO-1800 ZPU-2"
"FGZRNHBZWG";"439-y otd. Vertolotnyy Polk"
"FHEL01";"Helicopter: Transport"
"FHEL02";"Helicopter: Gunship"
"FHEL03";"Helicopter: Anti-Tank"
"FHEL04";"Helicopter: Anti-Aircraft"
"FHFZEGBXLW";"F-111E [HE]"
"FHGHTHRXHW";"JRROF"
"FHHTZYWIPP";"1-68 pcz"
"FHILFVEKSD";"#DDR  4. MSD"
"FHJIPIEJXI";"DESANT. LuAZ-967M"
"FHLLZYDBKV";"L21A1 RARDEN"
"FHMJZPUDWV";"M-240 (3F2 Gagara)"
"FHPSFVSOSD";"#RFA 4. Pz.Gren.-Division"
"FHQEDISCUJ";"10 br"
"FHRSSZUVTM";"DShKM"
"FIAQOUSIWG";"MG3S"
"FICEJGYDUQ";"(Crimean Defence Force)"
"FIDWVAJGHK";"99e Infanterie"
"FIDZLDPPLO";"LEOPARD C1"
"FIEMKRMPDX";"CH-47C CHINOOK"
"FIEYLFVBDN";"A-7D CORSAIR II [HE]"
"FIFQEADZRH";"1-15. TP"
"FIFWYJHTGW";"3-63. MSP"
"FIHQPQMIKK";"M198"
"FIJJGECVMS";"AMX-10 P MILAN"
"FINF01";"Infantry: Rifles"
"FINF02";"Infantry: Anti-Aircraft"
"FINF03";"Infantry: Anti-Tank"
"FINF04";"Infantry: Assaut"
"FINF05";"Infantry: HMG"
"FINOOYGRFL";"A-7D CORSAIR II [CLU]"
"FIQBSCAMRQ";"#RECO2 MOT. RAZVEDKA"
"FIQDKYOYSH";"Pz.Gren.-Bat. 111"
"FIQMEQMUTK";"TANK GUN"
"FIRCMRJLTY";"Colt Commando"
"FISKEJVBBF";"PM-63 RAK"
"FISTHXAXCT";"171. PLRP"
"FJCOWPOMZU";"Geb.Jäger-Bat. 87"
"FJCRHIOGOU";"21-y Otd. Ognemetniy Bat."
"FJDHKYYUHE";"M2HB 12,7mm M63"
"FJESUSRQLH";"#RECO1 M41C CAXIAS"
"FJFDPOBXCY";"CHIEFTAIN MK. 11"
"FJJDCSJCNE";"Model 30-11"
"FJLPBERWSS";"Panzer-Bat. 334"
"FJMYKIXCQG";"KPz. T-72S"
"FJOZCWAHGT";"M621"
"FJPGXBJJHP";"2nd ATAF"
"FJRHPYEODE";"FV510 WARRIOR"
"FJRYNDDRYJ";"1-36 pa"
"FJSSFWDQFW";"#RECO1 M150A1"
"FJUHCAHHGZ";"ARMBRUST"
"FJVDWQMQTR";"NF-5A [RKT]"
"FJWHNVXCUU";"F-18 [AA1]"
"FJYKJBEVGW";"M256"
"FJYLNRUTGL";"PZ.GRENADIER"
"FKCGJKVASJ";"Aufklärungs-Bat. 2"
"FKGVYRVZIK";"GV. PULEMETCHIKI"
"FKODPDHTST";"ZiS-3 76,2mm"
"FKRGEUYHOI";"FV432"
"FKXDCYUQXX";"HQ-82nd AB"
"FKYHPGLRCQ";"1-841-y Art. Polk"
"FKYQUGDTTW";"C.14B [AA]"
"FLAKMDRFWX";"1-15th Mech. Infantry Bat."
"Flame";"FLAMETHROWER"
"FlameDes";"A flamethrower is a destructive weapon projecting a controllable jet of flames. Using liquid fuels or other incendiary mixtures such as napalm, flamethrowers can be vehicle-mounted or man-portable. \n\nAlthough they have a very short range, flamethrowers are highly effective against infantry, even behind cover."
"FLAOVJBRAZ";"Pz.Gren.-Bat. 242"
"FLARKOAOYS";"III,/AR-19"
"FLATTBBUOQ";"N.G. M1 ABRAMS"
"FLAXNEBGVH";"GBU-12"
"FLHJNKBUWG";"USMC SECURITY"
"FLIGQGONAI";"HQ-I British Corps"
"FLIMDKGAKO";"Bofors AC130"
"FLJZTYYJUJ";"Igla-V"
"FLKWCZCSNP";"Su-17M4 [CLU]"
"FLOTCMWGPU";"Skyflash"
"FLZPKTCMPR";"#RECO2 HR.15"
"FMBEZQMQMN";"AEROMOBILES"
"FMCNICOQBM";"Panzer-Bat. 83"
"FMCTHBSXYK";"ML-20S"
"FMDWQLQRIM";"AH-1F HOG"
"FMFINMBFXR";"Pz.Gren.-Bat. 292"
"FMGVSMMXTG";"#CMD M1025 HUMVEE CP"
"FMMQQGWUHR";"T-62M"
"FMPJJNRQZR";"MARSOUINS M2HB 12,7mm"
"FMSSHFWGSV";"Panzer-Bat. 524"
"FMVFOPSRJL";"A-12.7"
"FMVT01";"AA"
"FMVVXCCNRF";"#RECO2 AMX-10 RC"
"FMXKRJNSYC";"#US  8th Infantry Div."
"FMZPBDLBJB";"DESANT. UAZ-3151 SNAB."
"FNABTUEHJS";"Flugabwehr-Rgt. 330"
"FNAFLIYGHI";"BRP-250"
"FNDEHHDUNN";"Dépôt de munition"
"FNKTCLWRIN";"A-7D CORSAIR II"
